CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
1,Male,49,27,22
2,Female,56,31,31
3,Male,66,25,18
4,Male,69,36,23
5,Male,49,22,21
6,Female,21,46,25
7,Male,47,30,43
8,Male,54,18,10
9,Male,40,16,30
10,Female,56,28,12
11,Male,62,23,21
12,Male,32,30,33
13,Male,60,28,25
14,Male,46,24,16
15,Female,53,18,19
16,Male,30,15,30
17,Female,49,21,19
18,Female,24,31,26
19,Female,68,26,25
20,Male,39,15,19
21,Female,45,26,42
22,Male,19,28,30
23,Female,59,17,8
24,Female,62,26,26
25,Female,23,25,19
26,Female,45,15,31
27,Female,45,27,18
28,Female,61,29,24
29,Female,61,33,29
30,Female,37,33,31
31,Male,47,15,15
32,Male,28,17,22
33,Female,45,29,21
34,Female,42,29,19
35,Female,56,29,39
36,Male,50,55,28
37,Female,18,29,14
38,Male,44,34,32
39,Male,69,32,41
40,Male,30,30,33
41,Male,58,15,82
42,Male,20,21,74
43,Female,56,35,87
44,Female,23,19,82
45,Female,25,28,86
46,Female,44,31,85
47,Female,26,17,73
48,Male,54,24,75
49,Female,50,15,85
50,Female,68,16,84
51,Male,59,22,79
52,Female,61,15,80
53,Male,41,38,90
54,Female,32,15,75
55,Male,49,21,84
56,Female,49,26,78
57,Female,41,36,78
58,Male,58,15,88
59,Male,69,34,86
60,Male,66,25,86
61,Male,66,17,90
62,Male,69,28,80
63,Male,29,26,85
64,Male,56,20,77
65,Male,19,25,82
66,Female,20,21,78
67,Female,66,25,80
68,Male,54,30,84
69,Female,66,37,73
70,Female,34,15,96
71,Female,66,42,71
72,Female,19,15,70
73,Male,19,23,89
74,Female,45,29,86
75,Male,40,27,84
76,Female,54,20,85
77,Female,49,23,79
78,Female,50,21,72
79,Male,18,20,80
80,Female,36,31,74
81,Male,19,62,67
82,Female,61,53,43
83,Male,43,48,56
84,Female,49,52,51
85,Male,23,58,67
86,Male,49,50,43
87,Female,21,48,43
88,Male,28,56,45
89,Female,34,56,33
90,Female,55,50,45
91,Female,41,51,43
92,Female,22,56,51
93,Female,69,43,52
94,Female,51,43,65
95,Female,23,49,57
96,Female,39,53,45
97,Female,28,57,42
98,Female,65,66,53
99,Female,33,61,39
100,Male,50,53,64
101,Male,26,54,59
102,Female,23,46,46
103,Female,33,54,36
104,Female,46,52,60
105,Female,20,57,49
106,Female,37,48,59
107,Female,53,59,37
108,Female,36,67,45
109,Female,43,54,50
110,Male,20,58,50
111,Female,36,60,46
112,Male,37,51,54
113,Female,49,56,41
114,Female,24,55,48
115,Male,69,55,50
116,Female,58,48,54
117,Male,50,55,55
118,Female,57,58,41
119,Female,56,66,37
120,Male,35,62,60
121,Female,57,87,15
122,Male,18,79,13
123,Female,28,97,19
124,Male,45,85,11
125,Male,42,94,15
126,Female,67,85,10
127,Female,40,101,35
128,Male,48,99,20
129,Female,47,83,14
130,Female,59,92,21
131,Female,52,90,19
132,Male,24,95,18
133,Male,33,77,24
134,Male,43,90,26
135,Male,65,93,15
136,Male,69,70,15
137,Male,66,75,17
138,Male,19,68,1
139,Male,18,82,7
140,Male,65,90,30
141,Female,29,97,33
142,Male,22,85,18
143,Female,54,98,24
144,Female,49,73,22
145,Female,26,71,44
146,Male,58,84,28
147,Male,52,88,18
148,Male,36,84,12
149,Male,65,68,7
150,Female,33,84,21
151,Male,20,74,13
152,Male,37,90,8
153,Male,41,87,14
154,Male,50,77,11
155,Male,41,80,33
156,Female,69,76,27
157,Male,28,84,19
158,Female,66,92,31
159,Male,25,77,20
160,Female,53,89,13
161,Male,55,97,74
162,Male,57,89,80
163,Female,37,76,73
164,Female,52,83,76
165,Female,65,77,88
166,Male,42,73,75
167,Female,52,92,86
168,Male,42,100,70
169,Male,46,73,84
170,Female,35,89,91
171,Female,63,79,60
172,Male,35,81,73
173,Male,19,80,84
174,Female,52,78,78
175,Female,33,85,82
176,Female,58,78,75
177,Male,53,87,80
178,Male,50,84,78
179,Male,21,83,89
180,Male,50,77,82
181,Male,31,80,82
182,Male,38,91,76
183,Female,65,89,76
184,Male,37,77,76
185,Male,25,85,83
186,Male,24,91,76
187,Female,20,71,82
188,Male,34,89,96
189,Male,50,79,86
190,Female,65,89,77
191,Male,29,78,89
192,Male,68,70,76
193,Male,39,71,63
194,Male,39,85,71
195,Male,63,87,65
196,Female,47,77,77
197,Female,55,90,80
198,Female,55,71,93
199,Male,62,84,82
200,Male,68,75,78
