CustomerID,Gender,Age,Income,Score,Gender_Encoded,KMeans_Cluster,Segment,DBSCAN_Cluster
1,Male,49,27,22,0,2,Low Income - Low Spending (Sensible),0
2,Female,56,31,31,1,2,Low Income - Low Spending (Sensible),0
3,Male,66,25,18,0,2,Low Income - Low Spending (Sensible),0
4,Male,69,36,23,0,2,Low Income - Low Spending (Sensible),0
5,Male,49,22,21,0,2,Low Income - Low Spending (Sensible),0
6,Female,21,46,25,1,2,Low Income - Low Spending (Sensible),0
7,Male,47,30,43,0,2,Low Income - Low Spending (Sensible),0
8,Male,54,18,10,0,2,Low Income - Low Spending (Sensible),0
9,Male,40,16,30,0,2,Low Income - Low Spending (Sensible),0
10,Female,56,28,12,1,2,Low Income - Low Spending (Sensible),0
11,Male,62,23,21,0,2,Low Income - Low Spending (Sensible),0
12,Male,32,30,33,0,2,Low Income - Low Spending (Sensible),0
13,Male,60,28,25,0,2,Low Income - Low Spending (Sensible),0
14,Male,46,24,16,0,2,Low Income - Low Spending (Sensible),0
15,Female,53,18,19,1,2,Low Income - Low Spending (Sensible),0
16,Male,30,15,30,0,2,Low Income - Low Spending (Sensible),0
17,Female,49,21,19,1,2,Low Income - Low Spending (Sensible),0
18,Female,24,31,26,1,2,Low Income - Low Spending (Sensible),0
19,Female,68,26,25,1,2,Low Income - Low Spending (Sensible),0
20,Male,39,15,19,0,2,Low Income - Low Spending (Sensible),0
21,Female,45,26,42,1,2,Low Income - Low Spending (Sensible),0
22,Male,19,28,30,0,2,Low Income - Low Spending (Sensible),0
23,Female,59,17,8,1,2,Low Income - Low Spending (Sensible),0
24,Female,62,26,26,1,2,Low Income - Low Spending (Sensible),0
25,Female,23,25,19,1,2,Low Income - Low Spending (Sensible),0
26,Female,45,15,31,1,2,Low Income - Low Spending (Sensible),0
27,Female,45,27,18,1,2,Low Income - Low Spending (Sensible),0
28,Female,61,29,24,1,2,Low Income - Low Spending (Sensible),0
29,Female,61,33,29,1,2,Low Income - Low Spending (Sensible),0
